default,identifier,remarks,ru,pt,de,esm,fr
cancel,JGPHUD_Presets_Menu_Cancel,"Button to leave the Presets menu. Comes after options to load/overwrite/delete, so please user lowercase for this one as well.
The meaning is ""return to previous menu and do nothing"", so this can also be translated as ""back""",назад,,,,
"Are you sure you want to %1s preset \""%2s\""?",JGPHUD_Presets_ConfirmAction,"%1s is ""load"" or ""overwrite"" or ""delete""
%2s is the name of the preset given by the user, so it's not affected by grammar

These string tags can be moved around, but make sure that their numbers stay in the same place (e.g. if %2s needs to be placed before %1s, the numbers do NOT change).
Don't forget the escape character \ for quotation marks.","Вы точно хотите %1s пресет \""%2s\""?",,,,
"Overwrite existing preset \""%s\""?",JGPHUD_Preset_Warning_Overwrite,"Generic warning for the Presets menu
%s is the name of the preset given by the user, so it's not affected by grammar","Перезаписать пресет \""%s\""?",,,,
Preset name cannot contain whitespace,JGPHUD_Preset_Warning_Whitespace,Generic warning for the Presets menu,В названии пресета не должно быть пробелов,,,,
Cannot create preset with empty name,JGPHUD_Preset_Warning_EmptyName,Generic warning for the Presets menu,Нельзя создать пресет с пустым названием,,,,
Built-in presets,JGPHUD_Presets_Menu_BuiltIn,Title of a submenu in the Presets menu,Встроенные пресеты,,,,
User presets,JGPHUD_Presets_Menu_User,Title of a submenu in the Presets menu,Пользовательские пресеты,,,,
Save current preset,JGPHUD_Presets_Menu_Save,Command in the Presets menu that saves the current settings,Сохранить текущие настройки в пресет,,,,
Are you sure you want to reset to default settings?,JGPHUD_Presets_Menu_ResetSettingsConfirm,,Вы точно хотите сбросить настройки?,,,,
Are you sure you want to load the default preset?,JGPHUD_Presets_Menu_ResetPresetConfirm,,Вы точно хотите загрузить пресет по умолчанию?,,,,
Preset name:,JGPHUD_Presets_Menu_Name,"When the user chooses ""Save current preset"", this line appears, followed by a text input field where the user has to enter the name for their current preset.",Название пресета:,,,,
Confirm,JGPHUD_Presets_Menu_Confirm,A button the player presses after they've entered the preset name.,Подтвердить,,,,
